"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Корзина","1","0","Удаление товара из корзины","0"
"0","","0","Обратная связь","1","0","Отправка формы Contact Us с прикреплением файла","0"
"0","","0","Каталог товаров","1","0","Проверка отображения информации в карточке товара","0"
"0","","0","Авторизация","1","0","Ошибка при вводе неверных данных","0"
"0","","0","Управление аккаунтом","1","0","Успешное удаление аккаунта пользователя","0"
"0","","0","Каталог товаров","1","0","Открытие каталога","0"
"0","","0","Каталог товаров","3","0","Поиск товаров по ключевым словам (DDT)","0"
"0","","0","Регистрация","1","0","Успешная регистрация нового пользователя","0"
"1","","0","Регистрация","0","0","Ошибка при попытке регистрации на уже зарегистрированный email","0"
"0","","0","Авторизация","1","0","Успешный переход на страницу входа","0"
"0","","0","Оформление заказа","1","0","Полный E2E-сценарий покупки товара","0"
"0","","0","Футер","1","0","Подписка на рассылку новостей","0"
"0","","0","Корзина","1","0","Добавление товара в корзину из каталога","0"
