"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","744","test_open_login_page[chromium]","tests","2026-08-22","passed","2026-08-22","","test_auth","",""
"","1623","test_add_product_to_cart[chromium]","tests","2026-08-22","passed","2026-08-22","","test_cart","",""
"","1130","test_open_products_page[chromium]","tests","2026-08-22","passed","2026-08-22","","test_products","",""
"","1249","test_product_details_info[chromium]","tests","2026-08-22","passed","2026-08-22","","test_product_details","",""
"","1450","test_search_product[chromium-tshirt]","tests","2026-08-22","passed","2026-08-22","","test_products","",""
"","450","test_contact_us_form[chromium]","tests","2026-08-22","passed","2026-08-22","","test_contact","",""
"","705","test_newsletter_subscription[chromium]","tests","2026-08-22","passed","2026-08-22","","test_subscription","",""
"","1324","test_search_product[chromium-jean]","tests","2026-08-22","passed","2026-08-22","","test_products","",""
"","2857","test_delete_account[chromium]","tests","2026-08-22","passed","2026-08-22","","test_delete_account","",""
"","1340","test_search_product[chromium-dress]","tests","2026-08-22","passed","2026-08-22","","test_products","",""
"","2514","test_register_with_existing_email[chromium]","tests","2026-08-22","passed","2026-08-22","","test_auth","",""
"","2333","test_successful_registration[chromium]","tests","2026-08-22","passed","2026-08-22","","test_auth","",""
"","1805","test_delete_product_from_cart[chromium]","tests","2026-08-22","passed","2026-08-22","","test_cart","",""
"","1049","test_login_with_invalid_credentials[chromium]","tests","2026-08-22","passed","2026-08-22","","test_auth","",""
"","6187","test_full_checkout_flow[chromium]","tests","2026-08-22","passed","2026-08-22","","test_checkout","",""
